"PPTYP","Pension Plan Type","DTYP","Definition Type","CTYP","Contract Type","VAR","Variable","IND","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2011","2011","PC","Percentage","0","Units",,,7.51,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2012","2012","PC","Percentage","0","Units",,,7.903,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2013","2013","PC","Percentage","0","Units",,,7.24,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2014","2014","PC","Percentage","0","Units",,,7.547,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,8.357,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2016","2016","PC","Percentage","0","Units",,,8.14,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,8.936,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,6.693,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2019","2019","PC","Percentage","0","Units",,,6.692,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2020","2020","PC","Percentage","0","Units",,,6.909,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUS","Australia","2021","2021","PC","Percentage","0","Units",,,6.929,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUT","Austria","2013","2013","PC","Percentage","0","Units",,,0.461,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUT","Austria","2014","2014","PC","Percentage","0","Units",,,0.565,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUT","Austria","2015","2015","PC","Percentage","0","Units",,,0.343,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUT","Austria","2016","2016","PC","Percentage","0","Units",,,0.319,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUT","Austria","2017","2017","PC","Percentage","0","Units",,,0.31,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3100","CONTRIBUTIONS","CGDP","Contributions as a share of GDP","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,0.302,,
