"PPTYP","Pension Plan Type","DTYP","Definition Type","CTYP","Contract Type","VAR","Variable","IND","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2011","2011","PC","Percentage","0","Units",,,32.626,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2012","2012","PC","Percentage","0","Units",,,30.781,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2013","2013","PC","Percentage","0","Units",,,31.715,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2014","2014","PC","Percentage","0","Units",,,32.648,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,36.411,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2016","2016","PC","Percentage","0","Units",,,33.68,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,41.123,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,24.384,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2019","2019","PC","Percentage","0","Units",,,25.371,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2020","2020","PC","Percentage","0","Units",,,25.456,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUS","Australia","2021","2021","PC","Percentage","0","Units",,,27.479,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUT","Austria","2015","2015","PC","Percentage","0","Units",,,8.565,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUT","Austria","2016","2016","PC","Percentage","0","Units",,,8.378,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUT","Austria","2017","2017","PC","Percentage","0","Units",,,8.881,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,8.775,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUT","Austria","2019","2019","PC","Percentage","0","Units",,,9.802,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUT","Austria","2020","2020","PC","Percentage","0","Units",,,9.715,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","AUT","Austria","2021","2021","PC","Percentage","0","Units",,,10.204,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2011","2011","PC","Percentage","0","Units",,,30.965,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2012","2012","PC","Percentage","0","Units",,,31.859,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2013","2013","PC","Percentage","0","Units",,,32.436,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2014","2014","PC","Percentage","0","Units",,,36.526,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2015","2015","PC","Percentage","0","Units",,,35.135,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2016","2016","PC","Percentage","0","Units",,,37.671,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,29.76,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2018","2018","PC","Percentage","0","Units",,,37.408,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2019","2019","PC","Percentage","0","Units",,,37.795,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2020","2020","PC","Percentage","0","Units",,,38.02,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CAN","Canada","2021","2021","PC","Percentage","0","Units",,,42.991,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","3300","Employee contributions","EECT","Employees contributions as a percent of total contributions","CZE","Czech Republic","2011","2011","PC","Percentage","0","Units",,,78.131,,
