etiqueta,TAUC,TAUW,TAUR,TOTAL,G,B
valor,0.23254596532747215,0.4961055946066885,0.0,0.7286515599341606,0.5513868463498255,0.25747168767021034
(in %),8.634500548962116,18.42054762353074,0.0,27.055048172492853,20.473156869411472,47.8
(rate),13.0,31.28004608061547,0.0,,,
