etiqueta,K,A,B,BA,r,pa
valor,1.0954338028627308,1.3529025995790662,0.25747168767021034,0.0,0.7812443224193074,12.239235167492101
(in %),203.36890727926362,251.16837056939673,47.8,0.0,,
