etiqueta,K,A,B,BA,r,pa
valor,2.4035434850661215,2.586319511449784,0.18281307166065522,0.0,0.5066198687355996,8.542729400348591
(in %),398.37067960155764,428.6645396035658,30.3,0.0,,
