etiqueta,K,A,B,BA,r,pa
valor,1.1574977781911389,1.2786896226200344,0.1211952498307261,0.0,0.7715069980750944,12.11625288081406
(in %),289.38578639160335,319.6849350077776,30.3,0.0,,
