etiqueta,TAUC,TAUW,TAUR,TOTAL,G,B
valor,0.9626142750139652,0.6895934575002665,0.0,1.6522077325142317,1.4392325037042109,0.5109519202897197
(in %),11.41681296212167,8.178727168853923,0.0,19.595540130975593,17.069607973098755,30.3
(rate),19.0,18.60431979838126,0.0,,,
