etiqueta,TAUC,TAUW,TAUR,TOTAL,G,B
valor,0.7444117867839602,1.0343045692130703,0.0,1.7787163559970307,1.3527740865802775,0.6569705399394886
(in %),10.016583385575139,13.917294362523009,0.0,23.933877748098148,18.20252537727356,44.2
(rate),16.0,36.818251534866114,0.0,,,
