etiqueta,K,A,B,BA,r,pa
valor,0.30560474200783383,0.3724697754709582,0.06686731133308363,0.0,1.3618627298472357,18.754733834745906
(in %),202.0079666350081,246.20646093887362,44.2,0.0,,
