time,run_id,r,rn,w,wn,p,KK,AA,BB,LL,HH,YY,CC,II,GG,INC,BQ,tauc,tauw,taur,taup,kappa,PP,pen_cohort_1,pen_cohort_2,pen_cohort_3,pen_cohort_4,pen_cohort_5,pen_cohort_6,pen_cohort_7,pen_cohort_8,pen_cohort_9,pen_cohort_10,pen_cohort_11,pen_cohort_12,pen_cohort_13,pen_cohort_14,pen_cohort_15,pen_cohort_16,c_coh_cohort_1,c_coh_cohort_2,c_coh_cohort_3,c_coh_cohort_4,c_coh_cohort_5,c_coh_cohort_6,c_coh_cohort_7,c_coh_cohort_8,c_coh_cohort_9,c_coh_cohort_10,c_coh_cohort_11,c_coh_cohort_12,c_coh_cohort_13,c_coh_cohort_14,c_coh_cohort_15,c_coh_cohort_16,y_coh_cohort_1,y_coh_cohort_2,y_coh_cohort_3,y_coh_cohort_4,y_coh_cohort_5,y_coh_cohort_6,y_coh_cohort_7,y_coh_cohort_8,y_coh_cohort_9,y_coh_cohort_10,y_coh_cohort_11,y_coh_cohort_12,y_coh_cohort_13,y_coh_cohort_14,y_coh_cohort_15,y_coh_cohort_16,l_coh_cohort_1,l_coh_cohort_2,l_coh_cohort_3,l_coh_cohort_4,l_coh_cohort_5,l_coh_cohort_6,l_coh_cohort_7,l_coh_cohort_8,l_coh_cohort_9,l_coh_cohort_10,l_coh_cohort_11,l_coh_cohort_12,l_coh_cohort_13,l_coh_cohort_14,l_coh_cohort_15,l_coh_cohort_16,a_coh_cohort_1,a_coh_cohort_2,a_coh_cohort_3,a_coh_cohort_4,a_coh_cohort_5,a_coh_cohort_6,a_coh_cohort_7,a_coh_cohort_8,a_coh_cohort_9,a_coh_cohort_10,a_coh_cohort_11,a_coh_cohort_12,a_coh_cohort_13,a_coh_cohort_14,a_coh_cohort_15,a_coh_cohort_16,v_coh_cohort_1,v_coh_cohort_2,v_coh_cohort_3,v_coh_cohort_4,v_coh_cohort_5,v_coh_cohort_6,v_coh_cohort_7,v_coh_cohort_8,v_coh_cohort_9,v_coh_cohort_10,v_coh_cohort_11,v_coh_cohort_12,v_coh_cohort_13,v_coh_cohort_14,v_coh_cohort_15,v_coh_cohort_16,VV_coh_cohort_1,VV_coh_cohort_2,VV_coh_cohort_3,VV_coh_cohort_4,VV_coh_cohort_5,VV_coh_cohort_6,VV_coh_cohort_7,VV_coh_cohort_8,VV_coh_cohort_9,VV_coh_cohort_10,VV_coh_cohort_11,VV_coh_cohort_12,VV_coh_cohort_13,VV_coh_cohort_14,VV_coh_cohort_15,VV_coh_cohort_16,tauc_rev,tauw_rev,taur_rev,total_tax_rev
0,20,0.7600216849387954,0.7600216849387954,1.0363869743341583,0.518927117024297,1.16,4.929690988049822,5.586661532521611,0.6569705399394886,2.7105869110260405,0.19405577536459898,7.4317934382295086,4.652573667399752,1.4264456867020998,1.3527740865802775,0.4626314065288569,0.7112070777753796,0.16,0.36818251534866114,0.0,0.13110961206017502,0.643,0.3683153467871086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.297471994398055,0.2270543934634094,0.3012958659442031,0.3833329899013676,0.44997012705676276,0.5253612996418571,0.5936794554641399,0.6755345726722934,0.7736980956898412,0.916856475406609,1.070633751329919,1.2765066046933076,1.5030701068433978,1.7221536800340935,1.8602420674281472,1.8037837842878688,1.4476981920296148,0.3203152437411648,0.4972145871757713,0.6558392205428488,0.6368958867824956,0.6005118715500515,0.4534571663612407,0.3107587949733091,0.16808555874835943,0.11785712071532582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25587071803293054,0.28652258617697224,0.2905422727725438,0.24369463421790652,0.1957150106441873,0.12286540076944008,0.06559787788859862,0.024804758744966765,0.014511753626175971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054793352587750824,0.15690859954698005,0.32378520845000686,0.5303623701530371,0.7876082420344281,1.0848068199443293,1.2869245883370983,1.4547495457687118,1.5579964911097157,1.7976444520784411,1.980617550233225,2.039840508251985,1.8899372537100088,1.4659217456961326,0.785136865284086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.23723582501144,-18.744163508157737,-12.58853216390262,-8.2792656768955,-5.456683670516783,-3.600948371634462,-2.435361069813897,-1.6712323533963869,-1.1512150819035127,-0.7922326563575474,-0.545886017437905,-0.3751163926443912,-0.26218558124521546,-0.19587442513746645,-0.16735011822672186,-0.16998134007324506,0.7444117867839602,1.0343045692130703,0.0,1.7787163559970307
1,20,0.7761923684525747,0.7761923684525747,0.9667307060410751,0.5941349394433707,1.16,4.9953223166562335,5.586661532521611,0.5913392158644931,3.481291143215046,0.253859029062522,8.1303678583699,5.205424882200263,1.5741149727664192,1.3296977502359117,0.5542372202537503,0.7177414884964978,0.16,0.26503495317964515,0.0,0.1203834102480331,0.7073,0.40514688146581945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3272191938378605,0.3272191938378605,0.3272191938378605,0.3272191938378605,0.3272191938378605,0.3272191938378605,0.3272191938378605,0.27540420774318725,0.3636629384791251,0.45938051379541445,0.5353138240896116,0.6197612423128664,0.6947211282237347,0.7771588304807225,0.8728767166379443,0.9964098985393534,1.122153830740882,1.3320086334384431,1.5635887562935693,1.7879305283960205,1.9289870388606931,1.8675610754853498,1.4842873294364025,0.3768692224121004,0.5761993746785657,0.7642137552529811,0.7730526497587015,0.7679198215167549,0.6478410341086185,0.5103876001583123,0.3556858598866698,0.21833651981266872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311337486578599,0.34188796672449123,0.3491680490073651,0.30994261290300096,0.26869595826171055,0.20358939113606067,0.1357160168042634,0.07346209330872883,0.033250424723124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054793352587750824,0.15690859954698005,0.32378520845000686,0.5303623701530371,0.7876082420344281,1.0848068199443293,1.2869245883370983,1.4547495457687118,1.5579964911097157,1.7976444520784411,1.980617550233225,2.039840508251985,1.8899372537100088,1.4659217456961326,0.785136865284086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.228275134346323,-16.206793839700307,-11.220192591932772,-7.715396829764846,-5.277976299370057,-3.586427691851939,-2.4547633544470178,-1.6709238211367137,-1.1229503389830622,-0.7722336637411686,-0.5391886770921575,-0.3741269055352791,-0.26323954888810097,-0.19741057279824054,-0.16918116380793163,-0.17547030150768492,0.8328679811520421,0.891967460789948,0.0,1.7248354419419902
2,20,0.7567940507141553,0.7567940507141553,0.9952653936256389,0.5957314694631223,1.16,5.128116008281454,5.719455224147983,0.5913392158644931,3.4007777622419813,0.2487625902042853,8.176764558314474,5.2500533423896165,1.5755144340870748,1.3296977502359117,0.5574000264705233,0.7066966618298588,0.16,0.25803232370172735,0.0,0.1434022350816732,0.7073,0.48537016339396566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39201198588547764,0.39201198588547764,0.39201198588547764,0.39201198588547764,0.39201198588547764,0.39201198588547764,0.39201198588547764,0.27716898192670375,0.36634771782212106,0.4646272724414829,0.5436122142863384,0.6291171082125651,0.7052039031795814,0.7873272692689411,0.8808237753211955,0.9992391820067246,1.1321400336482856,1.3383703798525675,1.5688454406832102,1.791678553215481,1.930891110706497,1.8688517671358966,1.495922115186875,0.3741219097937655,0.5716124141306994,0.7534818310688779,0.7547125781500367,0.7476591888151922,0.6250468726383412,0.48856251579903803,0.3376254335821658,0.20570988236226237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309117170675657,0.3392680785265367,0.34413106644943414,0.30202912282243416,0.26100167928698637,0.19544817711715884,0.1285689905404366,0.06915652924995402,0.030878427668238943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05779461403872477,0.17116702903940512,0.3532168766412057,0.5667906919586403,0.8327028723364788,1.131324556046359,1.328560457385492,1.4846140381029382,1.5578009138757622,1.7928222277634078,1.975051536022101,2.0314140140848123,1.8763689245160724,1.4464863556533938,0.7646073637289956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.04857451228031,-16.050797181396955,-10.95438568183931,-7.430336978287319,-5.102027604231879,-3.4753201889961503,-2.397484105124591,-1.665464385528842,-1.148912599395468,-0.7735999457522477,-0.5336784927000002,-0.37157630178594414,-0.26204627922679763,-0.1970700679364269,-0.16881034956647314,-0.1718309290176911,0.8400085347823386,0.8733559211591245,0.0,1.7133644559414631
3,20,0.7511196792852428,0.7511196792852428,1.003885113942736,0.6099606299164272,1.16,5.22793552935365,5.819274745221729,0.5913392158644931,3.4163340711614456,0.2509636373816651,8.285308500372334,5.32732071687715,1.606414270590343,1.3296977502359117,0.5647993340745217,0.7091244656822658,0.16,0.2500687931071558,0.0,0.14233117234087075,0.7073,0.48813997334919706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3942490387226012,0.3942490387226012,0.3942490387226012,0.3942490387226012,0.3942490387226012,0.3942490387226012,0.3942490387226012,0.28285149569854867,0.3724131493811311,0.472650231993238,0.5549124586176851,0.6446154298094349,0.7222316633981588,0.806172275515969,0.8990025507120625,1.0136966486152368,1.137540546838218,1.3487147083157218,1.5744427851435627,1.7955902162418242,1.9326192783843625,1.86845923772663,1.4951900298643326,0.37657732165891034,0.578538085209023,0.7613422866105054,0.7588866125546122,0.746203459680659,0.6241512595545847,0.4870387290979373,0.33668023084627924,0.20617906779272702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31174649471507637,0.34434816757238046,0.3487457466741379,0.3044986949657711,0.260966190538684,0.19588952349472344,0.12903606079825852,0.06911175717192139,0.03130800805841088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05235266575080127,0.16808987457232433,0.3616029104051384,0.5905376618325633,0.8623552670229913,1.1682035060711546,1.365256682598669,1.513385623852347,1.571591509120915,1.815464924547438,1.9891217689793124,2.0419100630303997,1.8824409186370437,1.448572061000656,0.7653225600588835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.57057160273038,-15.985483995445989,-10.895434589496357,-7.289103624950994,-4.938668713143128,-3.376025390851372,-2.333497024407254,-1.6333214916162262,-1.1485332544923457,-0.7932047990324866,-0.5356423628577487,-0.368218075583435,-0.26067136188089174,-0.19639071556096732,-0.1687208074197956,-0.1716616252811043,0.852371314700344,0.8576376628898222,0.0,1.7100089775901663
4,20,0.7453493346146531,0.7453493346146531,1.0127820736800284,0.6233036101700153,1.16,5.329907639488711,5.921246855350925,0.5913392158644931,3.430925168707054,0.25292021154694344,8.394437284524521,5.4059072449409005,1.6365763532811144,1.3296977502359117,0.5722385096504766,0.7115444867382519,0.16,0.24221726460925838,0.0,0.14234568692404928,0.7073,0.4946198758341124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39948256899090917,0.39948256899090917,0.39948256899090917,0.39948256899090917,0.39948256899090917,0.39948256899090917,0.39948256899090917,0.288300743555967,0.37956912634018625,0.4800367595144585,0.5638165997863113,0.6570258231017901,0.738883727096989,0.8243317254678021,0.918862963392879,1.033173675083046,1.1517934395078815,1.353527033112638,1.5847289802904043,1.7998432016859547,1.9345372911312624,1.867884942686251,1.4930912630736266,0.37846883791666475,0.5810290700341056,0.7687078978817602,0.7668175628142929,0.7501297370491707,0.6220597012989244,0.4853348063015751,0.3337824611399574,0.2052459603121839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313801576886804,0.34635537429795743,0.3531500773581058,0.30885557598815755,0.263181118081328,0.19566901164690734,0.12916124490244615,0.06886288559852534,0.031343252882519546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531008185021326,0.1640731980430368,0.361971252044125,0.6039136899108362,0.8930141679089209,1.2045174576995634,1.4075787592869649,1.553246571035625,1.5999923499479793,1.8267468238094466,2.008836333503437,2.051085682110371,1.8869932825851385,1.448790013513808,0.7634593658406935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.10251427900788,-15.674742013595065,-10.862513083376356,-7.25935062735241,-4.852358438104904,-3.274025952457039,-2.270500444759788,-1.5921629200083791,-1.1284610658171061,-0.7942749743778971,-0.5501115321929831,-0.37019551073522367,-0.25872700889270317,-0.19568499789115987,-0.16837538489477105,-0.17182982578699144,0.864945159190544,0.841651587306848,0.0,1.7065967464973921
5,20,0.7399503134220762,0.7399503134220762,1.0212290553233543,0.6364874136098267,1.16,5.432811499901021,6.02415071578632,0.5913392158644931,3.4479526173694754,0.2549044425230504,8.506458524952736,5.487298971796833,1.666822857217789,1.3296977502359117,0.5798748604199834,0.7150933470932443,0.16,0.23442239042815802,0.0,0.1423213378262524,0.7073,0.5011346924737538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40474429787578214,0.40474429787578214,0.40474429787578214,0.40474429787578214,0.40474429787578214,0.40474429787578214,0.40474429787578214,0.2937570248800943,0.3866313910134087,0.4889204617281543,0.5723026465293289,0.6670652572998734,0.752404548458149,0.8425266690320145,0.9382979394937905,1.0541886070679143,1.1726707551700482,1.368944736264522,1.5886048436092235,1.809565575281263,1.9369490049343885,1.8676338899795584,1.4909559680898694,0.3800791203927569,0.5834105915996844,0.7718059237137999,0.7750515596254861,0.7590825278648978,0.6266418505737562,0.48355874789148806,0.3315203742468699,0.2007773538116172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3155428868276958,0.34824365700059956,0.3551366002468342,0.3133778734945217,0.26771217251147134,0.19814375856718972,0.12907944350438444,0.06837746795722528,0.030238118436951393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053500404272344926,0.16656508243851836,0.36068908769860436,0.6077274571836048,0.9114772490380709,1.2412768916766475,1.4485898786939493,1.5988834264434535,1.6404069541885788,1.8559477625311234,2.0177025640246216,2.067318109883123,1.8915254855432937,1.4488817814600548,0.7613807215566535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.624207921110997,-15.370999599393679,-10.667490495226216,-7.247083197916575,-4.838690341522847,-3.2214779532676543,-2.2056831294931265,-1.5514858759785455,-1.1016801967100034,-0.7816496122723537,-0.5516869297539039,-0.3807692580101236,-0.26049508990216624,-0.19451657309314732,-0.1680019370428108,-0.17171180895051816,0.8779678354874934,0.825436258051444,0.0,1.7034040935389374
6,20,0.7350275850370405,0.7350275850370405,1.0290361875874507,0.649380673430966,1.16,5.536483077631045,6.127822293466971,0.5913392158644931,3.468383011633481,0.2569652293832584,8.622278277402211,5.572028373638334,1.6975265685592342,1.3296977502359117,0.587770151122561,0.7200563657093572,0.16,0.22665950750608677,0.0,0.1422833136944802,0.7073,0.5078221841926104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41014548877505425,0.41014548877505425,0.41014548877505425,0.41014548877505425,0.41014548877505425,0.41014548877505425,0.41014548877505425,0.2992003924560376,0.39366299369921864,0.49764968370495155,0.5824106522468858,0.676580581406278,0.7631680969204511,0.8571087661370719,0.957842574848211,1.0756951274113948,1.1969281696219514,1.3923236862814647,1.6050563718590578,1.8121241412204643,1.9454157510619876,1.868038151521935,1.4892259746391543,0.3813266913965606,0.5853442628136942,0.7746162941988971,0.7785153972007679,0.7681326161438089,0.63622599849677,0.48863609306979217,0.32921202166295777,0.1995017886185943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316892829375638,0.3497786302663231,0.3569258479442761,0.31539295039351095,0.2723070156016656,0.20287116111860626,0.13177405133527698,0.06783610607791339,0.030023515639250157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05394394913388373,0.1687156518150914,0.366698509671664,0.609807105504285,0.9195528777000086,1.2647720213497076,1.4902082374130836,1.6430573492041378,1.686911193405853,1.898672815961139,2.0460252949224054,2.0726648879586844,1.9026790237862297,1.4490438135712302,0.7592712952648973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.136528102977245,-15.058886842726958,-10.475668066178377,-7.12778058702539,-4.8362793161600175,-3.2156093640611214,-2.1727763820102273,-1.5094029861574678,-1.0752886581819707,-0.7644035002728634,-0.5436950732018848,-0.3824042547148802,-0.26829745683352746,-0.1961147767783995,-0.16721717248128937,-0.1715434436452847,0.8915245397821334,0.8089685514136835,0.0,1.700493091195817
7,20,0.7302938719925727,0.7302938719925727,1.0366401012888595,0.66212415015025,1.16,5.641137085681537,6.232476301588265,0.5913392158644931,3.4898282978200754,0.2589595252202725,8.739697523617199,5.65896211185113,1.7276247626458412,1.3296977502359117,0.5957744773221253,0.7265684540602684,0.16,0.21899571768067574,0.0,0.14228294660198984,0.7073,0.5147364411178282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41572982788898744,0.41572982788898744,0.41572982788898744,0.41572982788898744,0.41572982788898744,0.41572982788898744,0.41572982788898744,0.30466583334898667,0.4007049210817588,0.5063810913624518,0.592398198069166,0.68801538912935,0.7734251706799278,0.8685935354226169,0.9728695431899094,1.0967228149414618,1.2206118255669347,1.4197138070657007,1.6308553884311645,1.8290719577975878,1.9462369534285617,1.8743422823453522,1.4880790824622265,0.38230624141146813,0.5869649289831848,0.7770579976071537,0.7818251896040774,0.7722210774947911,0.6461355115086151,0.4991499826471983,0.33320624290530154,0.1964018906695017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3179457597203862,0.35105082641048013,0.35847840079019144,0.317292471339159,0.2744675048651167,0.20776107115603276,0.13681781195443746,0.06933808624065117,0.029129656065337996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05440064641203482,0.1709033366816763,0.3723204456111611,0.6200354439812686,0.9258560687307372,1.2771744016448423,1.5174790122861317,1.6882389368662634,1.7324960827136244,1.9485462660754662,2.089299723336053,2.098190423787438,1.9042122401003105,1.454663809278568,0.7573522214779319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.64217471041343,-14.74034360454946,-10.277983355926262,-7.010133460158506,-4.763766915771704,-3.2173057403452074,-2.1702966998415563,-1.4879961550637484,-1.0477526436707216,-0.7472089647146911,-0.5324424891141728,-0.37738757317368193,-0.2698033006708564,-0.20225140076813836,-0.1688078129829449,-0.1709497962617156,0.9054339378961808,0.7922599231397927,0.0,1.6976938610359733
8,20,0.7257323700237205,0.7257323700237205,1.0440585484177767,0.6746600810871339,1.16,5.745973727529172,6.337312943375874,0.5913392158644931,3.511695681896054,0.2607777462648597,8.857396055372083,5.74704780441876,1.75685268892728,1.3296977502359117,0.6037978421158862,0.7349136792473308,0.16,0.21150596094432547,0.0,0.14230414662573773,0.7073,0.52174618527316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42139128780993923,0.42139128780993923,0.42139128780993923,0.42139128780993923,0.42139128780993923,0.42139128780993923,0.42139128780993923,0.31012664667055556,0.40774605999731806,0.5150948568259646,0.6023533483765112,0.6992819068704013,0.7858421798532172,0.8794686381517809,0.9837229935560742,1.1126185087539124,1.2445898715001111,1.4464162880304743,1.6613498629476626,1.8566870798916324,1.962557975091711,1.8733317059651384,1.4916721661114263,0.38303396107447185,0.5882489635265913,0.7791043323583317,0.7846696683187554,0.7760680480174289,0.6507251524103598,0.5098999784615956,0.34135172429394894,0.2004245451415509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3187248782449027,0.3520717698995381,0.35979085135924804,0.3189088315281456,0.2764769790817336,0.21010148800658093,0.14197994028863176,0.0720430737560754,0.03024445348426042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05496011636936212,0.17319333929781341,0.37805808432851784,0.6299455027934426,0.9412901902757691,1.2878900983852373,1.5328177975994057,1.7177798661441674,1.778993456534299,1.9975474654058334,2.1404194751811305,2.1390400853569473,1.9244923894006558,1.452941731934635,0.758488655376423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.14826422241319,-14.416814521503358,-10.075734215219589,-6.888094577267062,-4.691957253081033,-3.1734578123357355,-2.173020937139181,-1.4863977107490982,-1.034075289358395,-0.7292290614751268,-0.521185774785331,-0.370082742270228,-0.26660887251765975,-0.2036480684392604,-0.17430222469818818,-0.17277169896495514,0.9195276487070017,0.7754688173315463,0.0,1.694996466038548
9,20,0.7210993077413252,0.7210993077413252,1.0516865821640455,0.6870363072798817,1.16,5.850160464625757,6.441499680505294,0.5913392158644931,3.531234570755472,0.2623346784299232,8.97175154008873,5.833523125370666,1.7843554740577527,1.3296977502359117,0.6115933154524197,0.7451568850092795,0.16,0.20434672298601708,0.0,0.14238231309383512,0.7073,0.5287726023714815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4270662137285663,0.4270662137285663,0.4270662137285663,0.4270662137285663,0.4270662137285663,0.4270662137285663,0.4270662137285663,0.3155557542085308,0.4147711555176357,0.5237940084814111,0.612281920405894,0.7105096906506968,0.7980757595898519,0.8928528922272997,0.9940873268582169,1.1231437277821676,1.2595585032162377,1.4733885573743741,1.6909495595112913,1.8895539676549358,1.9902444575381324,1.8871928605573276,1.48941976515599,0.38363833568303274,0.5893038483498986,0.7808293615506956,0.7871612731051509,0.7794897370544079,0.6551661082183959,0.5151918541622021,0.35047131411394533,0.2076489519055559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193629759027219,0.35289894611676287,0.36087241705422624,0.3202976329374222,0.2782302612537386,0.21232593720641213,0.14458660978239737,0.0754075302315813,0.03222919837597203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05569213800731366,0.17575044062179107,0.3840272349323573,0.6401038167202017,0.9565537906639486,1.308877631313092,1.5463791723755935,1.7344110001321023,1.8090092893025187,2.047733630871889,2.1907807154047294,2.188016620540366,1.9590449912148928,1.4659828489570197,0.7557150874487627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.667480486349795,-14.093453568367046,-9.869700958652853,-6.762718085161897,-4.617189375533029,-3.1300237495744985,-2.1461044437093095,-1.4885102907441732,-1.0339957617081021,-0.7206743355713392,-0.5093547569095599,-0.36275784444925563,-0.26179139746581354,-0.20149979449205085,-0.1757271454549942,-0.1786020724317811,0.9333637000593066,0.7588930545621188,0.0,1.6922567546214253
